201710;001;AS;AAAS;AFC ;101  ;000;14244;A  ;Intro to African Amer Studies ;ELE;M1 ;0025;0000;0025;09/07/2016;12/20/2016;12:30 pm;01:45 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;15430;A  ;Intro to African Amer Studies ;ELE;M1 ;0030;0004;0026;09/07/2016;12/20/2016;03:30 pm;04:45 pm;M; ;W; ; ; ; ;      ;          ;Ferreira,Ana Maria M     ;0012;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;000;15431;A  ;Intro to African Amer Studies ;ELE;M1 ;0020;0002;0018;09/07/2016;12/20/2016;03:30 pm;04:45 pm; ;T; ;R; ; ; ;PRAY-H;306       ;Pressley-Sanon,Antoinette;0006;0003                                                                      
201710;001;AS;AAAS;AFC ;101  ;001;16256;A  ;Intro to African Amer Studies ;DEO;WW1;0020;0009;0011;09/07/2016;12/20/2016;12:00 am;12:00 am; ; ; ; ; ; ; ;ONLINE;          ;Okafor,Victor O          ;0027;0003                                                                      
201710;001;AS;AAAS;AFC ;102  ;000;13509;A  ;Intro to African Civilization ;L  ;M1 ;0036;0008;0028;09/07/2016;12/20/2016;12:30 pm;01:45 pm; ;T; ;R; ; ; ;      ;          ;Pieh,Patrick K           ;0024;0003                                                                      
201710;001;AS;AAAS;AFC ;102  ;000;13510;A  ;Intro to African Civilization ;L  ;M1 ;0025;0007;0018;09/07/2016;12/20/2016;12:30 pm;01:45 pm;M; ;W; ; ; ; ;      ;          ;Pieh,Patrick K           ;0021;0003                                                                      
201710;001;AS;AAAS;AFC ;201  ;000;13511;A  ;Found Knowl Afr Amer Studies  ;L  ;M1 ;0025;0009;0016;09/07/2016;12/20/2016;05:30 pm;08:20 pm; ; ;W; ; ; ; ;PRAY-H;306       ;Ferreira,Ana Maria M     ;0027;0003                                                                      
201710;001;AS;AAAS;AFC ;221  ;000;14074;A  ;Africn Amer Social Movement   ;L  ;M1 ;0025;0005;0020;09/07/2016;12/20/2016;12:30 pm;01:45 pm;M; ;W; ; ; ; ;PRAY-H;306       ;Peters,Melvin T          ;0015;0003                                                                      
201710;001;AS;AAAS;AFC ;231  ;000;13512;A  ;Race,Urbanztn&Policy Mindset  ;L  ;M1 ;0020;0001;0019;09/07/2016;12/20/2016;02:00 pm;03:15 pm; ;T; ;R; ; ; ;PRAY-H;306       ;Woods,Ronald C           ;0003;0003                                                                      
201710;001;AS;AAAS;AFC ;232  ;000;15432;A  ;Politics in African Amer Exper;L  ;M1 ;0025;0004;0021;09/07/2016;12/20/2016;11:00 am;12:15 pm; ;T; ;R; ; ; ;PRAY-H;306       ;Woods,Ronald C           ;0012;0003                                                                      
201710;001;AS;AAAS;AFC ;243  ;000;13513;A  ;Black Women: Politics & Racism;L  ;M1 ;0035;0004;0031;09/07/2016;12/20/2016;05:30 pm;08:10 pm; ;T; ; ; ; ; ;      ;          ;NOT ASSIGNED             ;0012;0003                                                                      
201710;001;AS;AAAS;AFC ;272  ;000;13514;A  ;Hip Hop Lyricism African Amer ;L  ;M1 ;0025;0008;0017;09/07/2016;12/20/2016;03:30 pm;04:45 pm;M; ;W; ; ; ; ;PRAY-H;306       ;Peters,Melvin T          ;0024;0003                                                                      
